ax,ay,az,gx,gy,gz,id
0.970289,1.49551,10.9017,134.24,24.1597,-3.27402,3
0.741775,2.02193,10.9866,66.7599,15.576,-5.14651,3
0.683151,2.38205,10.8957,-5.67239,5.30353,-7.97275,3
0.696311,1.9992,10.8802,-70.9647,-3.38519,-9.574,3
0.720239,1.47158,10.9208,-131.672,-12.2577,-10.7027,3
0.786041,0.392423,10.7533,-180.243,-19.7389,-10.8602,3
0.825523,-0.638883,10.4961,-214.727,-24.9539,-10.204,3
0.848255,-1.60319,10.0965,-235.009,-28.4014,-8.559,3
1.04088,-3.6323,9.04965,-237.687,-31.9451,-2.50402,3
1.05882,-4.00678,8.88335,-228.788,-31.4814,-0.867775,3
1.16052,-4.24846,8.62133,-219.408,-31.0264,0.724721,3
1.25982,-4.42313,8.42871,-211.323,-30.4576,2.32597,3
1.34237,-4.80718,8.09731,-204.201,-29.8101,3.99721,3
1.49791,-5.6327,7.71924,-191.417,-27.8239,5.53721,3
1.53619,-6.35773,7.52542,-173.506,-24.9364,6.32471,3
1.58524,-6.79801,7.38425,-152.786,-21.8739,6.47345,3
1.6678,-7.32921,7.14496,-126.545,-18.1639,6.07096,3
1.72044,-7.65942,6.89252,-97.1971,-14.3839,5.14346,3
1.80419,-8.41436,6.55274,-0.19491,-0.6377,2.48347,3
1.88195,-9.52343,6.29073,48.91,8.12103,2.05472,3
1.9011,-10.2903,6.0993,112.146,15.6548,2.52722,3
1.90828,-9.82851,6.02034,174.385,18.8397,1.56472,3
1.88435,-9.05444,6.15314,237.524,22.2785,0.208472,3
1.74796,-7.57687,6.44147,280.084,26.9597,-0.815275,3
1.6654,-5.72961,6.79082,285.203,32.6734,-1.17402,3
1.61276,-4.13599,7.26341,285.203,38.1772,-1.27027,3
1.42851,-2.64048,7.95015,285.203,41.8959,-1.75152,3
1.27298,-0.642473,8.89531,285.203,41.7209,-2.88902,3
0.728614,4.37767,11.0728,72.2111,20.931,-8.9265,3
0.760917,3.24227,10.4949,-32.4561,12.706,-7.61401,3
0.760917,1.47757,10.2939,-115.528,3.36979,-6.63401,3
0.775274,-0.713061,10.3298,-170.924,-4.92519,-6.55526,3
0.841076,-2.81276,10.2855,-194.952,-9.99142,-6.94901,3
0.964307,-4.49372,10.2042,-190.656,-12.7564,-7.04526,3
1.02413,-5.44606,10.0893,-164.834,-13.2552,-6.63401,3
1.07079,-5.66859,9.8345,-126.055,-12.5552,-5.88151,3
1.10668,-5.67577,9.50907,-81.5522,-10.7789,-5.01526,3
1.12463,-5.21515,9.28295,-38.8785,-9.13393,-4.28901,3
1.15813,-2.40479,9.02094,3.80383,-6.71893,-0.719025,3
1.14257,-2.45025,8.91924,-3.7299,-6.41268,1.50347,3
1.19043,-2.76371,8.81157,-15.2099,-6.29894,3.17471,3
1.25025,-3.26142,8.74576,-25.6486,-6.05394,4.24221,3
1.3005,-3.85364,8.73021,-30.5136,-5.00394,5.09096,3
1.33878,-4.48295,8.6991,-27.2148,-3.35019,5.72095,3
